Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount
0.9999464748596489,9.356885276495534e-05,0.05,0.05,0.012807669799878185,200,"[-3, 4]",200,"[-3, 4]",200
0.9999726317500609,0.001027384726477285,0.06262626262626263,0.05,0.0186696880305454,200,"[-3, 5]",200,"[-4, 5]",200
0.9999725349502587,0.003297831457540241,0.07525252525252525,0.05,0.025846060124590526,200,"[-3, 6]",200,"[-4, 6]",200
0.9999724026793182,0.007255835914036673,0.08787878787878789,0.05,0.034336786082014806,200,"[-3, 7]",200,"[-4, 7]",200
0.9999722295618767,0.012876491517450676,0.10050505050505051,0.05,0.044141865902819225,200,"[-3, 8]",200,"[-4, 8]",200
0.9999720106431357,0.020025403385066236,0.11313131313131314,0.05,0.0552612995869982,200,"[-3, 9]",200,"[-4, 9]",200
0.999971741333058,0.02840389606914125,0.12575757575757576,0.05,0.06769508713455359,200,"[-3, 10]",200,"[-4, 10]",200
0.9999714174340428,0.03784729531866434,0.1383838383838384,0.05,0.08144322854549223,200,"[-3, 11]",200,"[-4, 11]",200
0.9999710351555564,0.048061865875384156,0.151010101010101,0.05,0.09650572381981534,200,"[-3, 12]",200,"[-4, 12]",200
0.999970591108304,0.058910629486747024,0.16363636363636364,0.05,0.11288257295749508,200,"[-3, 13]",200,"[-4, 13]",200
0.9999700822932139,0.07015776138286527,0.1762626262626263,0.05,0.13057377595854588,200,"[-3, 14]",200,"[-4, 14]",200
0.9999695060849711,0.0818704304002515,0.18888888888888888,0.05,0.14957933282284475,200,"[-3, 15]",200,"[-4, 15]",200
0.9999688602110844,0.09375451104227464,0.20151515151515154,0.05,0.16989924354965627,200,"[-3, 16]",200,"[-4, 16]",200
0.999968142732082,0.10552741397910007,0.21414141414141413,0.05,0.19153350813543782,200,"[-3, 17]",200,"[-4, 17]",200
0.9999673520206003,0.11793635638279384,0.22676767676767678,0.05,0.21448212656747112,200,"[-3, 18]",200,"[-4, 18]",200
0.9999664867404215,0.1300677667846499,0.23939393939393938,0.05,0.23874509879922812,200,"[-3, 19]",200,"[-4, 19]",200
0.9999655458260837,0.14217876216246841,0.25202020202020203,0.05,0.2643224247036693,200,"[-3, 20]",200,"[-4, 20]",200
0.9999645284640891,0.15411475895929658,0.26464646464646463,0.05,0.2912141039211007,200,"[-3, 21]",200,"[-4, 21]",200
0.9999634340733635,0.16632306626052493,0.2772727272727273,0.05,0.3194201356926081,200,"[-3, 22]",200,"[-4, 22]",200
0.9999622622876447,0.17856535529138567,0.2898989898989899,0.05,0.34894051800642456,200,"[-3, 23]",200,"[-4, 23]",200
0.9999610129363118,0.19012436232488847,0.30252525252525253,0.05,0.37977524785641503,200,"[-3, 24]",200,"[-4, 24]",200
0.999959686042251,0.20189867152370067,0.3151515151515151,0.05,0.41192431726526874,200,"[-3, 25]",200,"[-4, 25]",200
0.999958281777936,0.21379109867752302,0.3277777777777778,0.05,0.4453877142995538,200,"[-3, 26]",200,"[-4, 26]",200
0.9999568004818806,0.22478991074046176,0.3404040404040404,0.05,0.4801654213679943,200,"[-3, 27]",200,"[-4, 27]",200
0.9999552426393674,0.23684174713890088,0.353030303030303,0.05,0.5162573955860892,200,"[-3, 28]",200,"[-4, 28]",200
