Wnorm,WLN,gamma,r,nmean,Ndim,xbound,xcount,ybound,ycount,time1,time2
0.9999779034196614,-3.187897908458513e-05,0.0,0.0,0.0,150,"[-3, 4]",200,"[-3, 4]",200,2.352238893508911,5.418272972106934
0.9999627480497438,-5.374420494245489e-05,0.005932203389830508,0.0,0.0006338402677745218,150,"[-3, 4]",200,"[-3, 4]",200,1.1514177322387695,5.021201133728027
0.9999837114414164,-2.349961396760611e-05,0.011864406779661016,0.0,0.0025401974440573184,150,"[-3, 4]",200,"[-4, 4]",200,2.2997803688049316,5.166552782058716
0.9999754173791513,-3.5465643412184026e-05,0.017796610169491526,0.0,0.0057337105329703375,150,"[-3, 4]",200,"[-4, 4]",200,1.2449138164520264,5.1598594188690186
0.9999975161049959,-3.455795514882876e-06,0.02372881355932203,0.0,0.010239218138292488,150,"[-4, 5]",200,"[-4, 4]",200,2.3152015209198,4.9930665493011475
0.9999937433907838,8.912417912460957e-07,0.02966101694915254,0.0,0.016092445249406808,150,"[-4, 5]",200,"[-4, 4]",200,1.2862980365753174,5.563312530517578
0.9999858733380508,0.00011047094894759572,0.03559322033898305,0.0,0.023341020536529797,150,"[-4, 5]",200,"[-4, 4]",200,1.1929633617401123,5.793224811553955
0.9999950873996551,0.0007096112342242644,0.04152542372881356,0.0,0.03204588757114343,150,"[-4, 5]",200,"[-5, 4]",200,2.3912274837493896,5.686324596405029
0.9999884904427876,0.0023681249750901966,0.04745762711864406,0.0,0.042283204094862734,150,"[-4, 5]",200,"[-5, 4]",200,1.2404401302337646,5.71997594833374
0.9999752030287321,0.005824487574817946,0.053389830508474574,0.0,0.05414686719233831,150,"[-4, 5]",200,"[-5, 4]",200,1.1620099544525146,5.713592529296875
0.9999629421802726,0.011755463030205233,0.05932203389830508,0.0,0.06775186740287999,150,"[-4, 5]",200,"[-6, 4]",200,2.4137754440307617,5.947237014770508
0.9999310112948395,0.02062892918968054,0.06525423728813559,0.0,0.08323877618661163,150,"[-4, 5]",200,"[-6, 4]",200,1.2269442081451416,5.183883190155029
0.9998854299065806,0.03280676691529005,0.0711864406779661,0.0,0.1007798338225221,150,"[-4, 5]",200,"[-7, 4]",200,2.3846404552459717,5.204616069793701
0.9998092605046348,0.04839013831029326,0.0771186440677966,0.0,0.12058735767356987,150,"[-4, 5]",200,"[-7, 4]",200,1.1684589385986328,5.226330757141113
0.9999835056498018,0.06946029953175577,0.08305084745762711,0.0,0.14292550812114496,150,"[-6, 7]",200,"[-8, 5]",200,3.429898738861084,5.125521421432495
0.9999939293374835,0.0943451826578271,0.08898305084745761,0.0,0.16812661077002425,150,"[-8, 9]",200,"[-9, 6]",200,3.580573320388794,5.266870975494385
0.9999888653181757,0.12284627373669511,0.09491525423728812,0.0,0.19661274190969144,150,"[-8, 9]",200,"[-10, 6]",200,2.363590717315674,5.276531934738159
0.9999749783335599,0.1557584212547943,0.10084745762711864,0.0,0.2289216379417658,150,"[-8, 9]",200,"[-10, 6]",200,1.1615610122680664,5.200888633728027
0.9999490660630153,0.19458715456895345,0.10677966101694915,0.0,0.26573327955733983,150,"[-8, 9]",200,"[-10, 11]",200,7.4477503299713135,5.597273588180542
0.999943068026435,0.23747017389323544,0.11271186440677965,0.0,0.3078907391027195,150,"[-9, 10]",200,"[-11, 11]",200,2.434166431427002,5.51869535446167
0.9998928451058195,0.28414623923966115,0.11864406779661016,0.0,0.35640754480253295,150,"[-9, 10]",200,"[-11, 11]",200,1.1815745830535889,5.14567494392395
0.999874259476087,0.3354497995074722,0.12457627118644067,0.0,0.41245491568856263,150,"[-10, 11]",200,"[-12, 11]",200,2.33750057220459,5.5102150440216064
0.9997850476332009,0.3893132805138572,0.13050847457627118,0.0,0.47732564611016587,150,"[-10, 11]",200,"[-12, 11]",200,1.2505137920379639,5.380526065826416
0.99968051562808,0.44572171976143593,0.13644067796610168,0.0,0.5523760419961626,150,"[-10, 11]",200,"[-13, 11]",200,2.3629276752471924,5.355602979660034
0.9996461350593678,0.5050088930495868,0.1423728813559322,0.0,0.6389516377007478,150,"[-11, 12]",200,"[-14, 11]",200,2.4834706783294678,5.239617109298706
0.9994711637188348,0.5656601447736902,0.1483050847457627,0.0,0.7383052745492912,150,"[-11, 12]",200,"[-14, 11]",200,1.1566967964172363,5.079485177993774
0.9996371305274245,0.6293546523853282,0.1542372881355932,0.0,0.8515169734905614,150,"[-13, 14]",200,"[-15, 12]",200,3.48685359954834,4.914831876754761
0.9994946746470845,0.6919332536342555,0.16016949152542373,0.0,0.9794240419758347,150,"[-13, 14]",200,"[-15, 12]",200,1.156508445739746,4.942245244979858
0.9995235505029633,0.7547025956576263,0.16610169491525423,0.0,1.122567728252415,150,"[-13, 14]",200,"[-16, 15]",200,4.563412666320801,5.021674871444702
0.9994408287568703,0.8170660055305881,0.17203389830508475,0.0,1.281160128007999,150,"[-13, 14]",200,"[-16, 16]",200,2.302196741104126,4.99169397354126
0.9998514819301553,0.8808481011528244,0.17796610169491522,0.0,1.4550720531468517,150,"[-15, 16]",200,"[-16, 17]",200,3.610146999359131,4.989980459213257
0.9998169501679615,0.94132549541253,0.18389830508474578,0.0,1.6438396068684307,150,"[-15, 16]",200,"[-16, 17]",200,1.1750178337097168,4.992333889007568
